unit,word
166,speed
2,current
3,current
5,voltage
6,voltage
7,voltage
8,power
9,power
10,power
11,power
12,power
14,phase
16,energy
17,energy
18,energy
19,energy
21,thermal_energy
125,energy
126,energy
146,energy
20,thermal_energy
147,thermal enregy
148,thermal_energy
23,enthalpy
24,enthalpy
117,enthalpy
149,enthalpy
150,enthalpy
127,entrophy
128,entrophy
151,entrophy
152,entrophy
25,frequency
26,frequency
27,frequency
129,frequency
130,frequency
131,frequency
29,humidity
28,humidity
34,luminance
35,luminance
36,luminance
37,luminance
38,luminance
179,luminance
180,luminance
42,flow
43,flow
44,flow
45,flow
46,flow
119,flow
154,flow
155,flow
156,flow
47,power
48,power
49,power
50,power
51,power
52,power
132,power
157,power
53,pressure
54,pressure
55,pressure
56,pressure
57,pressure
58,pressure
59,pressure
60,pressure
61,pressure
133,pressure
134,pressure
62,temperature
63,temperature
64,temperature
65,temperature
66,temperature
120,temperature
121,temperature
181,temperature
182,temperature
67,time
68,time
69,time
70,time
71,time
72,time
73,time
158,time
159,time
160,torque
74,speed
75,speed
77,speed
78,speed
161,speed
162,speed
163,speed
164,speed
79,volume
80,volume
81,volume
82,volume
83,volume
84,flow
85,flow
86,flow
87,flow
88,flow
89,flow
135,flow
136,flow
142,flow
165,flow
95,
98,
96,co2
97,co2
104,motor_speed
90,direction
302,
264,
258,
309,
1,area
101,time
