original label,tagset,ahu,hvac_zone,floor,room,unit,parsed tagset
Effective RA CO2dac1AV004,Return Air CO2 Sensor,,1,,,4,Effective_RA_CO_dac_AV
Effective RA CO2dac2AV004,Return Air CO2 Sensor,,2,,,4,Effective_RA_CO_dac_AV
Effective RA CO2dac3AV004,Return Air CO2 Sensor,,3,,,4,Effective_RA_CO_dac_AV
RMI516 Space CO2 Concentration Zone 2,CO2 Sensor,,2,,516,,RMI_Space_CO_Concentration_Zone
Return Air CO2 Sensordac1UIP36,Return Air CO2 Sensor,,,1,,36,Return_Air_CO_Sensordac_UIP
Return Air CO2 Sensordac2UIP36,Return Air CO2 Sensor,,,2,,36,Return_Air_CO_Sensordac_UIP
Return Air CO2 Sensordac3UIP36,Return Air CO2 Sensor,,,3,,36,Return_Air_CO_Sensordac_UIP
Return Air CO2scc2UIP17,Return Air CO2 Sensor,,2,2,,17,Return_Air_CO_scc_UIP
Space  CO2 RMI206,CO2 Sensor,,,,206,,Space_CO_RMI
Space CO2 Concentration Local,CO2 Sensor,,,,,,Space_CO_Concentration_Local
Space CO2 Concentration RMI050,CO2 Sensor,,,,50,,Space_CO_Concentration_RMI
Space CO2 Concentration Zone 2 RMI230,CO2 Sensor,,2,,230,,Space_CO_Concentration_Zone_RMI
Space CO2 Room 513,CO2 Sensor,,,,513,,Space_CO_Room
Space CO2 level RM242,CO2 Sensor,,,,242,,Space_CO_level_RM
rmi514 Space CO2 Concentration,CO2 Sensor,,,,514,,rmi_Space_CO_Concentration
CB Flow Meter RMI308,Discharge Air Flow,,,,308,,CB_Flow_Meter_RMI
Discharge Air Flow,Discharge Air Flow,,,,,,Discharge_Air_Flow
Nominal Air Flow Status,Discharge Air Flow,,,,,,Nominal_Air_Flow_Status
Return Air CFM,Return Air Flow Sensor,,,,,,Return_Air_CFM
Return Airflow CFM,Return Air Flow Sensor,,,,,,Return_Airflow_CFM
Return Airflow,Return Air Flow Sensor,,,,,,Return_Airflow
ventOptVavAirflowGross1st Floor Chilled Beam VAS2,Discharge Air Flow Sensor,,2,1,,,vent_Opt_Vav_Airflow_Gross_st_Floor_Chilled_Beam_VAS
ventOptVavAirflowGross1st Foor Perimeter Devices VAS1,Discharge Air Flow Sensor,,1,1,,,vent_Opt_Vav_Airflow_Gross_st_Foor_Perimeter_Devices_VAS
ventOptVavAirflowGross2nd Floor Chilled Beam Source VAS2,Discharge Air Flow Sensor,,2,2,,,vent_Opt_Vav_Airflow_Gross_nd_Floor_Chilled_Beam_Source_VAS
ventOptVavAirflowGross2nd Floor Perimeter Devices VAS1,Discharge Air Flow Sensor,,1,2,,,vent_Opt_Vav_Airflow_Gross_nd_Floor_Perimeter_Devices_VAS
ventOptVavAirflowGross5th Floor Chilled Beam VAS1,Discharge Air Flow Sensor,,1,5,,,vent_Opt_Vav_Airflow_Gross_th_Floor_Chilled_Beam_VAS
ventOptVavAirflowGross5th Floor Perimeter Devices VAS2,Discharge Air Flow Sensor,,2,5,,,vent_Opt_Vav_Airflow_Gross_th_Floor_Perimeter_Devices_VAS
