SourceIdentifier,VendorGivenName,BACnetName,BACnetDescription,BACnetUnit,BACnetTypeStr
513_0_3004504,AP&M.HX-1.HX1-MTWS,NAE 13 N2 Trunk 1 AHU 1 HX1 MTWS,HX1 Medium Temp Water Supply,64,Analog Input
513_0_3004514,AP&M.AHU-3.MA-T,NAE 13 N2 Trunk 1 AHU 1 MA T,Mixed Air Temperature,64,Analog Input
513_0_3004530,AP&M.AHU-3.SA-SP,NAE 13 N2 Trunk 1 AHU 1 SA SP,Supply Air Static Pressure,58,Analog Input
513_0_3004533,AP&M.AHU-3.SA-T,NAE 13 N2 Trunk 1 AHU 1 SA T,Supply Air Temperature,64,Analog Input
513_0_3004571,AP&M.AHU-2.OA-T,NAE 13 N2 Trunk 1 AHU 2 OA T,Outdoor Air Temperature,64,Analog Input
513_0_3004573,AP&M.AHU-2.RA-T,NAE 13 N2 Trunk 1 AHU 2 RA T,Return Air Temperature,64,Analog Input
513_0_3004582,AP&M.AHU-2.SA-T,NAE 13 N2 Trunk 1 AHU 2 SA T,Supply Air Temperature,64,Analog Input
513_0_3004585,AP&M.AHU-2.SA1-SP,NAE 13 N2 Trunk 1 AHU 2 SA1 SP,Supply Air Static Pressure 1,58,Analog Input
513_0_3004588,AP&M.AHU-2.SA2-SP,NAE 13 N2 Trunk 1 AHU 2 SA2 SP,Supply Air Static Pressure 2,58,Analog Input
513_0_3004654,AP&M.AHU-1.RA-T,NAE 13 N2 Trunk 1 AHU 4 RA T,Return Air Temperature /  COMPUTER ROOM,64,Analog Input
513_0_3004663,AP&M.AHU-1.SA-T,NAE 13 N2 Trunk 1 AHU 4 SA T,Supply Air Temperature,64,Analog Input
513_0_3004680,AP&M.AHU-1.UFLR-T,NAE 13 N2 Trunk 1 AHU 4 UFLR T,Underfloor Temperature,64,Analog Input
513_0_3004683,AP&M.BLDG.CHWR-T,NAE 13 N2 Trunk 1 AHU 5 CHWR T,Chilled Water Return Temperature,64,Analog Input
513_0_3004684,AP&M.BLDG.CHWS-FLOW,NAE 13 N2 Trunk 1 AHU 5 CHWS FLOW,Chilled Water Supply Flow,89,Analog Input
513_0_3004686,AP&M.BLDG.CHWS-T,NAE 13 N2 Trunk 1 AHU 5 CHWS T,Chilled Water Supply Temperature,64,Analog Input
513_0_3004691,AP&M.HX-1.HTHWR-T,NAE 13 N2 Trunk 1 AHU 5 HTHWR T,High Temp Water Return Temperature,64,Analog Input
513_0_3004692,AP&M.HX-1.HTHWS-T,NAE 13 N2 Trunk 1 AHU 5 HTHWS T,High Temp Water Supply Temperature,64,Analog Input
513_0_3004697,AP&M.RM-B301.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 1 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004699,AP&M.RM-B301.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 1 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004713,AP&M.RM-B301.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 1 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004717,AP&M.RM-B301.WC-ADJ,NAE 13 N2 Trunk 1 VAV 1 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004718,AP&M.RM-B301.ZN-T,NAE 13 N2 Trunk 1 VAV 1 ZN T,Zone Temperature,64,Analog Input
513_0_3004720,AP&M.RM-B301W.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 2 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004722,AP&M.RM-B301W.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 2 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004736,AP&M.RM-B301W.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 2 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004740,AP&M.RM-B301W.WC-ADJ,NAE 13 N2 Trunk 1 VAV 2 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004741,AP&M.RM-B301W.ZN-T,NAE 13 N2 Trunk 1 VAV 2 ZN T,Zone Temperature,64,Analog Input
513_0_3004743,AP&M.RM-B325.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 3 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004745,AP&M.RM-B325.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 3 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004759,AP&M.RM-B325.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 3 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004763,AP&M.RM-B325.WC-ADJ,NAE 13 N2 Trunk 1 VAV 3 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004764,AP&M.RM-B325.ZN-T,NAE 13 N2 Trunk 1 VAV 3 ZN T,Zone Temperature,64,Analog Input
513_0_3004766,AP&M.RM-B337.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 4 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004768,AP&M.RM-B337.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 4 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004782,AP&M.RM-B337.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 4 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004786,AP&M.RM-B337.WC-ADJ,NAE 13 N2 Trunk 1 VAV 4 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004787,AP&M.RM-B337.ZN-T,NAE 13 N2 Trunk 1 VAV 4 ZN T,Zone Temperature,64,Analog Input
513_0_3004789,AP&M.RM-B349.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 5 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004791,AP&M.RM-B349.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 5 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004805,AP&M.RM-B349.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 5 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004809,AP&M.RM-B349.WC-ADJ,NAE 13 N2 Trunk 1 VAV 5 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004810,AP&M.RM-B349.ZN-T,NAE 13 N2 Trunk 1 VAV 5 ZN T,Zone Temperature,64,Analog Input
513_0_3004812,AP&M.BSMTW-HALL.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 6 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004814,AP&M.BSMTW-HALL.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 6 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004828,AP&M.BSMTW-HALL.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 6 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004832,AP&M.BSMTW-HALL.WC-ADJ,NAE 13 N2 Trunk 1 VAV 6 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004833,AP&M.BSMTW-HALL.ZN-T,NAE 13 N2 Trunk 1 VAV 6 ZN T,Zone Temperature,64,Analog Input
513_0_3004835,AP&M.BSMT-LOBBY.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 8 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004837,AP&M.BSMT-LOBBY.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 8 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004851,AP&M.BSMT-LOBBY.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 8 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004855,AP&M.BSMT-LOBBY.WC-ADJ,NAE 13 N2 Trunk 1 VAV 8 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004856,AP&M.BSMT-LOBBY.ZN-T,NAE 13 N2 Trunk 1 VAV 8 ZN T,Zone Temperature,64,Analog Input
513_0_3004858,AP&M.RM-B004.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 9 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004860,AP&M.RM-B004.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 9 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004874,AP&M.RM-B004.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 9 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004878,AP&M.RM-B004.WC-ADJ,NAE 13 N2 Trunk 1 VAV 9 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004879,AP&M.RM-B004.ZN-T,NAE 13 N2 Trunk 1 VAV 9 ZN T,Zone Temperature,64,Analog Input
513_0_3004881,AP&M.RM-B432.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 10 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004883,AP&M.RM-B432.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 10 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004897,AP&M.RM-B432.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 10 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004901,AP&M.RM-B432.WC-ADJ,NAE 13 N2 Trunk 1 VAV 10 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004902,AP&M.RM-B432.ZN-T,NAE 13 N2 Trunk 1 VAV 10 ZN T,Zone Temperature,64,Analog Input
513_0_3004904,AP&M.RM-1101.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 12 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004906,AP&M.RM-1101.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 12 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004920,AP&M.RM-1101.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 12 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004924,AP&M.RM-1101.WC-ADJ,NAE 13 N2 Trunk 1 VAV 12 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004925,AP&M.RM-1101.ZN-T,NAE 13 N2 Trunk 1 VAV 12 ZN T,Zone Temperature,64,Analog Input
513_0_3004927,AP&M.RM-1141.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 13 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004929,AP&M.RM-1141.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 13 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004943,AP&M.RM-1141.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 13 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004947,AP&M.RM-1141.WC-ADJ,NAE 13 N2 Trunk 1 VAV 13 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004948,AP&M.RM-1141.ZN-T,NAE 13 N2 Trunk 1 VAV 13 ZN T,Zone Temperature,64,Analog Input
513_0_3004950,AP&M.RM-1157.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 14 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004952,AP&M.RM-1157.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 14 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004966,AP&M.RM-1157.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 14 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004970,AP&M.RM-1157.WC-ADJ,NAE 13 N2 Trunk 1 VAV 14 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004971,AP&M.RM-1157.ZN-T,NAE 13 N2 Trunk 1 VAV 14 ZN T,Zone Temperature,64,Analog Input
513_0_3004973,AP&M.1FLE-HALL.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 15 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004975,AP&M.1FLE-HALL.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 15 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3004989,AP&M.1FLE-HALL.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 15 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3004993,AP&M.1FLE-HALL.WC-ADJ,NAE 13 N2 Trunk 1 VAV 15 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3004994,AP&M.1FLE-HALL.ZN-T,NAE 13 N2 Trunk 1 VAV 15 ZN T,Zone Temperature,64,Analog Input
513_0_3004996,AP&M.RM-1202.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 16 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3004998,AP&M.RM-1202.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 16 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005012,AP&M.RM-1202.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 16 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005016,AP&M.RM-1202.WC-ADJ,NAE 13 N2 Trunk 1 VAV 16 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005017,AP&M.RM-1202.ZN-T,NAE 13 N2 Trunk 1 VAV 16 ZN T,Zone Temperature,64,Analog Input
513_0_3005019,AP&M.RM-1218.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 17 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005021,AP&M.RM-1218.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 17 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005035,AP&M.RM-1218.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 17 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005039,AP&M.RM-1218.WC-ADJ,NAE 13 N2 Trunk 1 VAV 17 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005040,AP&M.RM-1218.ZN-T,NAE 13 N2 Trunk 1 VAV 17 ZN T,Zone Temperature,64,Analog Input
513_0_3005042,AP&M.RM-1240.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 18 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005044,AP&M.RM-1240.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 18 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005058,AP&M.RM-1240.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 18 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005062,AP&M.RM-1240.WC-ADJ,NAE 13 N2 Trunk 1 VAV 18 WC ADJ,Warm/Cool Adjustment,64,Analog Input
513_0_3005063,AP&M.RM-1240.ZN-T,NAE 13 N2 Trunk 1 VAV 18 ZN T,Zone Temperature,64,Analog Input
513_0_3005065,AP&M.RM-1260.ACLG-STPT,NAE 13 N2 Trunk 1 VAV 19 ACLG STPT,Actual Cooling Setpoint,64,Analog Input
513_0_3005067,AP&M.RM-1260.AHTG-STPT,NAE 13 N2 Trunk 1 VAV 19 AHTG STPT,Actual Heating Setpoint,64,Analog Input
513_0_3005081,AP&M.RM-1260.SUP-FLOW,NAE 13 N2 Trunk 1 VAV 19 SUP FLOW,Supply Air Flow,84,Analog Input
513_0_3005085,AP&M.RM-1260.WC-ADJ,NAE 13 N2 Trunk 1 VAV 19 WC ADJ,Warm/Cool Adjustment,64,Analog Input
