SourceIdentifier,VendorGivenName,BACnetName,BACnetDescription,BACnetUnit,BACnetTypeStr
505_0_3001079,EBU3B.RM-1200B..ZN-T,NAE 05 N2 2 VMA 101 ZN T,Zone Temperature \ Conference  Rm 1202,64,Analog Input
506_0_3001694,EBU3B.RM-3140..ZN-T,NAE 06 N2 2 VMA 101 ZN T,Zone Temperature,64,Analog Input
505_0_3000867,EBU3B.RM-B215..ZN-T,NAE 05 N2 1 VMA 101 ZN T,Zone Temperature,64,Analog Input
506_0_3015095,EBU3B.Unknown..ZN-T,NAE 06 N2 1 VMA 101 ZN T,Zone Temperature,64,Analog Input
505_0_3001085,EBU3B.RM-1200B..SUP-FLOW,NAE 05 N2 2 VMA 101 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3001700,EBU3B.RM-3140..SUP-FLOW,NAE 06 N2 2 VMA 101 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3000873,EBU3B.RM-B215..SUP-FLOW,NAE 05 N2 1 VMA 101 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3001083,EBU3B.RM-1200B..ACTHTGSP,NAE 05 N2 2 VMA 101 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
506_0_3001698,EBU3B.RM-3140..ACTHTGSP,NAE 06 N2 2 VMA 101 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3000871,EBU3B.RM-B215..ACTHTGSP,NAE 05 N2 1 VMA 101 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3001082,EBU3B.RM-1200B..ACTCLGSP,NAE 05 N2 2 VMA 101 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3001697,EBU3B.RM-3140..ACTCLGSP,NAE 06 N2 2 VMA 101 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3000870,EBU3B.RM-B215..ACTCLGSP,NAE 05 N2 1 VMA 101 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3001084,EBU3B.RM-1200B..DMPR-POS,NAE 05 N2 2 VMA 101 DMPR POS,Damper Position,98,Analog Input
506_0_3001699,EBU3B.RM-3140..DMPR-POS,NAE 06 N2 2 VMA 101 DMPR POS,Damper Position,98,Analog Input
505_0_3000872,EBU3B.RM-B215..DMPR-POS,NAE 05 N2 1 VMA 101 DMPR POS,Damper Position,98,Analog Input
505_0_3001100,EBU3B.RM-1130..ZN-T,NAE 05 N2 2 VMA 102 ZN T,Zone Temperature,64,Analog Input
506_0_3000023,EBU3B.RM-2140..ZN-T,NAE 06 N2 1 VMA102 ZN T,Zone Temperature,64,Analog Input
506_0_3001715,EBU3B.RM-3119..ZN-T,NAE 06 N2 2 VMA102 ZN T,Zone Temperature,64,Analog Input
505_0_3000887,EBU3B.RM-B109..ZN-T,NAE 05 N2 1 VMA 102 ZN T,Zone Temperature,64,Analog Input
505_0_3001106,EBU3B.RM-1130..SUP-FLOW,NAE 05 N2 2 VMA 102 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3000029,EBU3B.RM-2140..SUP-FLOW,NAE 06 N2 1 VMA102 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3001721,EBU3B.RM-3119..SUP-FLOW,NAE 06 N2 2 VMA102 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3000893,EBU3B.RM-B109..SUP-FLOW,NAE 05 N2 1 VMA 102 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3001104,EBU3B.RM-1130..ACTHTGSP,NAE 05 N2 2 VMA 102 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
506_0_3000027,EBU3B.RM-2140..ACTHTGSP,NAE 06 N2 1 VMA102 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
506_0_3001719,EBU3B.RM-3119..ACTHTGSP,NAE 06 N2 2 VMA102 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3000891,EBU3B.RM-B109..ACTHTGSP,NAE 05 N2 1 VMA 102 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3001103,EBU3B.RM-1130..ACTCLGSP,NAE 05 N2 2 VMA 102 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3000026,EBU3B.RM-2140..ACTCLGSP,NAE 06 N2 1 VMA102 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3001718,EBU3B.RM-3119..ACTCLGSP,NAE 06 N2 2 VMA102 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3000890,EBU3B.RM-B109..ACTCLGSP,NAE 05 N2 1 VMA 102 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3001105,EBU3B.RM-1130..DMPR-POS,NAE 05 N2 2 VMA 102 DMPR POS,Damper Position,98,Analog Input
506_0_3000028,EBU3B.RM-2140..DMPR-POS,NAE 06 N2 1 VMA102 DMPR POS,Damper Position,98,Analog Input
506_0_3001720,EBU3B.RM-3119..DMPR-POS,NAE 06 N2 2 VMA102 DMPR POS,Damper Position,98,Analog Input
505_0_3000892,EBU3B.RM-B109..DMPR-POS,NAE 05 N2 1 VMA 102 DMPR POS,Damper Position,98,Analog Input
505_0_3001624,EBU3B.RM-1100A..ZN-T,NAE 05 N2 2 VMA 103 ZN T,Zone Temperature \ 1st Flr Lobby,64,Analog Input
506_0_3001213,EBU3B.RM-2119..ZN-T,NAE 06 N2 1 VMA103 ZN T,Zone Temperature,64,Analog Input
506_0_3002894,EBU3B.RM-3154..ZN-T,NAE 06 N2 2 VMA103 ZN T,Zone Temperature \ Lounge-Game Room,64,Analog Input
505_0_3000907,EBU3B.RM-B225..ZN-T,NAE 05 N2 1 VMA 103 ZN T,Zone Temperature,64,Analog Input
505_0_3001630,EBU3B.RM-1100A..SUP-FLOW,NAE 05 N2 2 VMA 103 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3001219,EBU3B.RM-2119..SUP-FLOW,NAE 06 N2 1 VMA103 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3002900,EBU3B.RM-3154..SUP-FLOW,NAE 06 N2 2 VMA103 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3000913,EBU3B.RM-B225..SUP-FLOW,NAE 05 N2 1 VMA 103 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3001628,EBU3B.RM-1100A..ACTHTGSP,NAE 05 N2 2 VMA 103 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
506_0_3001217,EBU3B.RM-2119..ACTHTGSP,NAE 06 N2 1 VMA103 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
506_0_3002898,EBU3B.RM-3154..ACTHTGSP,NAE 06 N2 2 VMA103 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3000911,EBU3B.RM-B225..ACTHTGSP,NAE 05 N2 1 VMA 103 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3001627,EBU3B.RM-1100A..ACTCLGSP,NAE 05 N2 2 VMA 103 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3001216,EBU3B.RM-2119..ACTCLGSP,NAE 06 N2 1 VMA103 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3002897,EBU3B.RM-3154..ACTCLGSP,NAE 06 N2 2 VMA103 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3000910,EBU3B.RM-B225..ACTCLGSP,NAE 05 N2 1 VMA 103 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3001629,EBU3B.RM-1100A..DMPR-POS,NAE 05 N2 2 VMA 103 DMPR POS,Damper Position,98,Analog Input
506_0_3001218,EBU3B.RM-2119..DMPR-POS,NAE 06 N2 1 VMA103 DMPR POS,Damper Position,98,Analog Input
506_0_3002899,EBU3B.RM-3154..DMPR-POS,NAE 06 N2 2 VMA103 DMPR POS,Damper Position,98,Analog Input
505_0_3000912,EBU3B.RM-B225..DMPR-POS,NAE 05 N2 1 VMA 103 DMPR POS,Damper Position,98,Analog Input
505_0_3001645,EBU3B.RM-1117..ZN-T,NAE 05 N2 2 VMA 104 ZN T,Zone Temperature,64,Analog Input
506_0_3001234,EBU3B.RM-2200A..ZN-T,NAE 06 N2 1 VMA104 ZN T,Zone Temperature \ 2nd Flr Lobby,64,Analog Input
506_0_3002916,EBU3B.RM-3138..ZN-T,NAE 06 N2 2 VMA104 ZN T,Zone Temperature,64,Analog Input
505_0_3000927,EBU3B.RM-B230A..ZN-T,NAE 05 N2 1 VMA 104 ZN T,Zone Temperature / Elec room,64,Analog Input
505_0_3001651,EBU3B.RM-1117..SUP-FLOW,NAE 05 N2 2 VMA 104 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3001240,EBU3B.RM-2200A..SUP-FLOW,NAE 06 N2 1 VMA104 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3002922,EBU3B.RM-3138..SUP-FLOW,NAE 06 N2 2 VMA104 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3000932,EBU3B.RM-B230A..SUP-FLOW,NAE 05 N2 1 VMA 104 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3001649,EBU3B.RM-1117..ACTHTGSP,NAE 05 N2 2 VMA 104 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
506_0_3001238,EBU3B.RM-2200A..ACTHTGSP,NAE 06 N2 1 VMA104 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
506_0_3002920,EBU3B.RM-3138..ACTHTGSP,NAE 06 N2 2 VMA104 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3001648,EBU3B.RM-1117..ACTCLGSP,NAE 05 N2 2 VMA 104 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3001237,EBU3B.RM-2200A..ACTCLGSP,NAE 06 N2 1 VMA104 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3002919,EBU3B.RM-3138..ACTCLGSP,NAE 06 N2 2 VMA104 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3000930,EBU3B.RM-B230A..ACTCLGSP,NAE 05 N2 1 VMA 104 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3001650,EBU3B.RM-1117..DMPR-POS,NAE 05 N2 2 VMA 104 DMPR POS,Damper Position,98,Analog Input
506_0_3001239,EBU3B.RM-2200A..DMPR-POS,NAE 06 N2 1 VMA104 DMPR POS,Damper Position,98,Analog Input
506_0_3002921,EBU3B.RM-3138..DMPR-POS,NAE 06 N2 2 VMA104 DMPR POS,Damper Position,98,Analog Input
505_0_3000931,EBU3B.RM-B230A..DMPR-POS,NAE 05 N2 1 VMA 104 DMPR POS,Damper Position,98,Analog Input
505_0_3000325,EBU3B.CHWP1.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND075  CHWP1 VFD 21 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000365,EBU3B.CHWP2.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND22  CHWP2 VFD 22 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000326,EBU3B.CHWP1.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND075  CHWP1 VFD 21 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000366,EBU3B.CHWP2.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND22  CHWP2 VFD 22 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000321,EBU3B.CHWP1.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND075  CHWP1 VFD 21 PID CTRL,PID Control,98,Analog Input
505_0_3000361,EBU3B.CHWP2.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND22  CHWP2 VFD 22 PID CTRL,PID Control,98,Analog Input
505_0_3015259,EBU3B.CRAC-1.STAGES,NAE 05 N2 2 VND 162 STAGES,Stages,95,Analog Input
505_0_3015323,EBU3B.CRAC-2.STAGES,NAE 05 N2 2 VND 163 STAGES,Stages,95,Analog Input
505_0_3015195,EBU3B.CRAC-3.STAGES,NAE 05 N2 2 VND 161 STAGES,Stages,95,Analog Input
505_0_3015131,EBU3B.CRAC-4.STAGES,NAE 05 N2 2 VND 160 STAGES,Stages,95,Analog Input
505_0_3000405,EBU3B.HWP1.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND23  HWP1 VFD 23 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000445,EBU3B.HWP2.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND24  HWP2 VFD 1 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000406,EBU3B.HWP1.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND23  HWP1 VFD 23 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000446,EBU3B.HWP2.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND24  HWP2 VFD 1 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000401,EBU3B.HWP1.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND23  HWP1 VFD 23 PID CTRL,PID Control,98,Analog Input
505_0_3000441,EBU3B.HWP2.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND24  HWP2 VFD 1 PID CTRL,PID Control,98,Analog Input
505_0_3000645,EBU3B.RF1.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND45  RF 1 VFD 45 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000685,EBU3B.RF2.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND46  RF 2 VFD 46 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000725,EBU3B.RF3.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND47  RF 3 VFD 47 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000765,EBU3B.RF4.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND48  RF 4 VFD 48 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000646,EBU3B.RF1.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND45  RF 1 VFD 45 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000686,EBU3B.RF2.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND46  RF 2 VFD 46 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000726,EBU3B.RF3.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND47  RF 3 VFD 47 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000766,EBU3B.RF4.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND48  RF 4 VFD 48 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000641,EBU3B.RF1.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND45  RF 1 VFD 45 PID CTRL,PID Control,98,Analog Input
505_0_3000681,EBU3B.RF2.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND46  RF 2 VFD 46 PID CTRL,PID Control,98,Analog Input
505_0_3000721,EBU3B.RF3.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND47  RF 3 VFD 47 PID CTRL,PID Control,98,Analog Input
505_0_3000761,EBU3B.RF4.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND48  RF 4 VFD 48 PID CTRL,PID Control,98,Analog Input
505_0_3000485,EBU3B.SF1.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND41  SF 1 VFD 41 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000525,EBU3B.SF2.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND42  SF 2 VFD 42 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000565,EBU3B.SF3.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND43  SF 3 VFD 43 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000605,EBU3B.SF4.AI1-ACTUAL,NAE 05 N2 1 NAE5 T1 VND44  SF 4 VFD 44 AI1 ACTUAL,AI 1 Actual,98,Analog Input
505_0_3000486,EBU3B.SF1.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND41  SF 1 VFD 41 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000526,EBU3B.SF2.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND42  SF 2 VFD 42 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000566,EBU3B.SF3.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND43  SF 3 VFD 43 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000606,EBU3B.SF4.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND44  SF 4 VFD 44 AI2 ACTUAL,AI 2 Actual,98,Analog Input
505_0_3000481,EBU3B.SF1.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND41  SF 1 VFD 41 PID CTRL,PID Control,98,Analog Input
505_0_3000521,EBU3B.SF2.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND42  SF 2 VFD 42 PID CTRL,PID Control,98,Analog Input
505_0_3000561,EBU3B.SF3.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND43  SF 3 VFD 43 PID CTRL,PID Control,98,Analog Input
505_0_3000601,EBU3B.SF4.PID-CTRL,NAE 05 N2 1 NAE5 T1 VND44  SF 4 VFD 44 PID CTRL,PID Control,98,Analog Input
505_0_3000314,EBU3B.CHWP1.TORQUE,NAE 05 N2 1 NAE5 T1 VND075  CHWP1 VFD 21 TORQUE,Torque,98,Analog Input
505_0_3000354,EBU3B.CHWP2.TORQUE,NAE 05 N2 1 NAE5 T1 VND22  CHWP2 VFD 22 TORQUE,Torque,98,Analog Input
505_0_3000394,EBU3B.HWP1.TORQUE,NAE 05 N2 1 NAE5 T1 VND23  HWP1 VFD 23 TORQUE,Torque,98,Analog Input
505_0_3000434,EBU3B.HWP2.TORQUE,NAE 05 N2 1 NAE5 T1 VND24  HWP2 VFD 1 TORQUE,Torque,98,Analog Input
505_0_3000634,EBU3B.RF1.TORQUE,NAE 05 N2 1 NAE5 T1 VND45  RF 1 VFD 45 TORQUE,Torque,98,Analog Input
505_0_3000674,EBU3B.RF2.TORQUE,NAE 05 N2 1 NAE5 T1 VND46  RF 2 VFD 46 TORQUE,Torque,98,Analog Input
505_0_3000714,EBU3B.RF3.TORQUE,NAE 05 N2 1 NAE5 T1 VND47  RF 3 VFD 47 TORQUE,Torque,98,Analog Input
505_0_3000754,EBU3B.RF4.TORQUE,NAE 05 N2 1 NAE5 T1 VND48  RF 4 VFD 48 TORQUE,Torque,98,Analog Input
505_0_3000474,EBU3B.SF1.TORQUE,NAE 05 N2 1 NAE5 T1 VND41  SF 1 VFD 41 TORQUE,Torque,98,Analog Input
505_0_3000514,EBU3B.SF2.TORQUE,NAE 05 N2 1 NAE5 T1 VND42  SF 2 VFD 42 TORQUE,Torque,98,Analog Input
505_0_3000554,EBU3B.SF3.TORQUE,NAE 05 N2 1 NAE5 T1 VND43  SF 3 VFD 43 TORQUE,Torque,98,Analog Input
505_0_3000594,EBU3B.SF4.TORQUE,NAE 05 N2 1 NAE5 T1 VND44  SF 4 VFD 44 TORQUE,Torque,98,Analog Input
505_0_3001666,EBU3B.RM-1200A..ZN-T,NAE 05 N2 2 VMA 105 ZN T,Zone Temperature,64,Analog Input
506_0_3001254,EBU3B.RM-2240..ZN-T,NAE 06 N2 1 VMA105 ZN T,Zone Temperature,64,Analog Input
506_0_3002936,EBU3B.RM-3136..ZN-T,NAE 06 N2 2 VMA105 ZN T,Zone Temperature,64,Analog Input
505_0_3000944,EBU3B.RM-B240A..ZN-T,NAE 05 N2 1 VMA 105 ZN T,Zone Temperature,64,Analog Input
505_0_3001672,EBU3B.RM-1200A..SUP-FLOW,NAE 05 N2 2 VMA 105 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3001260,EBU3B.RM-2240..SUP-FLOW,NAE 06 N2 1 VMA105 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3002942,EBU3B.RM-3136..SUP-FLOW,NAE 06 N2 2 VMA105 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3000950,EBU3B.RM-B240A..SUP-FLOW,NAE 05 N2 1 VMA 105 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3001670,EBU3B.RM-1200A..ACTHTGSP,NAE 05 N2 2 VMA 105 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
506_0_3001258,EBU3B.RM-2240..ACTHTGSP,NAE 06 N2 1 VMA105 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
506_0_3002940,EBU3B.RM-3136..ACTHTGSP,NAE 06 N2 2 VMA105 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3000948,EBU3B.RM-B240A..ACTHTGSP,NAE 05 N2 1 VMA 105 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3001669,EBU3B.RM-1200A..ACTCLGSP,NAE 05 N2 2 VMA 105 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3001257,EBU3B.RM-2240..ACTCLGSP,NAE 06 N2 1 VMA105 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3002939,EBU3B.RM-3136..ACTCLGSP,NAE 06 N2 2 VMA105 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3000947,EBU3B.RM-B240A..ACTCLGSP,NAE 05 N2 1 VMA 105 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3001671,EBU3B.RM-1200A..DMPR-POS,NAE 05 N2 2 VMA 105 DMPR POS,Damper Position,98,Analog Input
506_0_3001259,EBU3B.RM-2240..DMPR-POS,NAE 06 N2 1 VMA105 DMPR POS,Damper Position,98,Analog Input
505_0_3015262,EBU3B.CRAC-1.TEMP-TOL,NAE 05 N2 2 VND 162 TEMP TOL,Temperature Tolerance,64,Analog Input
505_0_3015326,EBU3B.CRAC-2.TEMP-TOL,NAE 05 N2 2 VND 163 TEMP TOL,Temperature Tolerance,64,Analog Input
505_0_3015198,EBU3B.CRAC-3.TEMP-TOL,NAE 05 N2 2 VND 161 TEMP TOL,Temperature Tolerance,64,Analog Input
505_0_3015134,EBU3B.CRAC-4.TEMP-TOL,NAE 05 N2 2 VND 160 TEMP TOL,Temperature Tolerance,64,Analog Input
506_0_3002941,EBU3B.RM-3136..DMPR-POS,NAE 06 N2 2 VMA105 DMPR POS,Damper Position,98,Analog Input
505_0_3000949,EBU3B.RM-B240A..DMPR-POS,NAE 05 N2 1 VMA 105 DMPR POS,Damper Position,98,Analog Input
505_0_3001687,EBU3B.RM-1200C..ZN-T,NAE 05 N2 2 VMA 106 ZN T,Zone Temperature \ Corridor West,64,Analog Input
506_0_3001274,EBU3B.RM-2207..ZN-T,NAE 06 N2 1 VMA106 ZN T,Zone Temperature / Telecom Rm,64,Analog Input
506_0_3002956,EBU3B.RM-3134..ZN-T,NAE 06 N2 2 VMA106 ZN T,Zone Temperature,64,Analog Input
505_0_3000964,EBU3B.RM-B250A..ZN-T,NAE 05 N2 1 VMA 106 ZN T,Zone Temperature,64,Analog Input
505_0_3001693,EBU3B.RM-1200C..SUP-FLOW,NAE 05 N2 2 VMA 106 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3001279,EBU3B.RM-2207..SUP-FLOW,NAE 06 N2 1 VMA106 SUP FLOW,Actual Supply Flow,84,Analog Input
506_0_3002962,EBU3B.RM-3134..SUP-FLOW,NAE 06 N2 2 VMA106 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3000970,EBU3B.RM-B250A..SUP-FLOW,NAE 05 N2 1 VMA 106 SUP FLOW,Actual Supply Flow,84,Analog Input
505_0_3001691,EBU3B.RM-1200C..ACTHTGSP,NAE 05 N2 2 VMA 106 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
506_0_3002960,EBU3B.RM-3134..ACTHTGSP,NAE 06 N2 2 VMA106 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3000968,EBU3B.RM-B250A..ACTHTGSP,NAE 05 N2 1 VMA 106 ACTHTGSP,Actual Heating Setpoint,64,Analog Input
505_0_3001690,EBU3B.RM-1200C..ACTCLGSP,NAE 05 N2 2 VMA 106 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3001277,EBU3B.RM-2207..ACTCLGSP,NAE 06 N2 1 VMA106 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
506_0_3002959,EBU3B.RM-3134..ACTCLGSP,NAE 06 N2 2 VMA106 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3000967,EBU3B.RM-B250A..ACTCLGSP,NAE 05 N2 1 VMA 106 ACTCLGSP,Actual Cooling Setpoint,64,Analog Input
505_0_3001692,EBU3B.RM-1200C..DMPR-POS,NAE 05 N2 2 VMA 106 DMPR POS,Damper Position,98,Analog Input
506_0_3001278,EBU3B.RM-2207..DMPR-POS,NAE 06 N2 1 VMA106 DMPR POS,Damper Position,98,Analog Input
506_0_3002961,EBU3B.RM-3134..DMPR-POS,NAE 06 N2 2 VMA106 DMPR POS,Damper Position,98,Analog Input
505_0_3000969,EBU3B.RM-B250A..DMPR-POS,NAE 05 N2 1 VMA 106 DMPR POS,Damper Position,98,Analog Input
